     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   1000000,     24724,         0,   0.329,pymatching,dc6c05b2431bc78cc0690a085764372f9eaccea72f546e6108e1e4a8390383e7,"{""distance"":3,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":3,""sq_error"":0.00062,""tq_error"":0.0056}",
   1000000,     15272,         0,   0.263,pymatching,28f793c881bb4e7655fb286771358a87b5681bc9117acf356010062bec9ba6e7,"{""distance"":3,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":3,""sq_error"":0.00062,""tq_error"":0.0028}",
   1000000,     10758,         0,   0.239,pymatching,c99f7bdbd09ca8342fad56fe468abf174c442e15706a223d07c225096f5faecb,"{""distance"":3,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":3,""sq_error"":0.00062,""tq_error"":0.0014}",
   1000000,     24686,         0,    2.73,pymatching,3f01f1d5d730fc990e2c5ae207100a5f91e54e85a3dd605945d1fe62b3616335,"{""distance"":5,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":5,""sq_error"":0.00062,""tq_error"":0.0056}",
   1000000,      4934,         0,    1.56,pymatching,e16e99edfc25f9be15f6279c02fa5b56a71a66ebc145847315fc2937415abea2,"{""distance"":5,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":5,""sq_error"":0.00062,""tq_error"":0.0014}",
   1000000,      8897,         0,   0.223,pymatching,23514aa074afcbec66f637bb3bf5d401cf0ccddcd05da2753a0cc4d12d7a6489,"{""distance"":3,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":3,""sq_error"":0.00062,""tq_error"":0.0007}",
   1000000,      9563,         0,    1.91,pymatching,80cda470265bcc54057a397a00d78ca843ba592bc5142185bb83cd37a4842154,"{""distance"":5,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":5,""sq_error"":0.00062,""tq_error"":0.0028}",
   1000000,      3127,         0,    1.38,pymatching,d00387a237662a94b1a056759c3a617bb2abdc8ce813f064ae867755ef288389,"{""distance"":5,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":5,""sq_error"":0.00062,""tq_error"":0.0007}",
   1000000,       950,         0,    4.14,pymatching,b9e4c77b4740a6b5f7dc0e4d1cadeb792a3af062e5abac587ea31ae2e6b585ac,"{""distance"":7,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":7,""sq_error"":0.00062,""tq_error"":0.0007}",
   1000000,      1908,         0,    4.85,pymatching,acf7c73bfe5b97e8cc11357daf38a746f8dff39eea695e8cb6a0188f66e1d071,"{""distance"":7,""idle_error"":0.009,""meas_error"":0.008,""reset_error"":0.0015,""rounds"":7,""sq_error"":0.00062,""tq_error"":0.0014}",
